%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021OCT29,,,,,,,,,
%R223 is bottom right corner,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
302,1,4,34.55,129.5,90,0.95,0,C036,C_0805/100n
303,1,4,34.55,134.5,90,0.95,0,C037,C_0805/100n
304,1,4,34.55,139.5,90,0.95,0,C038,C_0805/100n
305,1,4,34.55,144.5,90,0.95,0,C039,C_0805/100n
306,1,4,34.55,132,90,0.95,0,C043,C_0805/100n
307,1,4,34.55,137,90,0.95,0,C044,C_0805/100n
308,1,4,34.55,142,90,0.95,0,C045,C_0805/100n
309,1,4,38.55,53.75,0,0.95,0,C060,C_0805/100n
310,1,4,38.55,45.55,0,0.95,0,C061,C_0805/100n
311,1,4,38.55,37.35,0,0.95,0,C062,C_0805/100n
312,1,4,38.55,49.65,0,0.95,0,C067,C_0805/100n
313,1,4,38.55,41.45,0,0.95,0,C068,C_0805/100n
314,1,4,38.55,33.05,0,0.95,0,C069,C_0805/100n
315,1,4,38.75,154.5,90,0.95,0,C041,C_0805/100n
316,1,4,39.25,29.5,90,0.95,0,C063,C_0805/100n
317,1,4,46.75,21.75,0,0.95,0,C073,C_0805/100n
318,1,4,57.5,32.75,0,0.95,0,C070,C_0805/100n
319,1,4,71.35,12.75,0,0.95,0,C057,C_0805/100n
320,1,4,71.35,21.15,0,0.95,0,C058,C_0805/100n
321,1,4,71.35,29.25,0,0.95,0,C059,C_0805/100n
322,1,4,71.35,17.15,0,0.95,0,C064,C_0805/100n
323,1,4,71.35,25.15,0,0.95,0,C065,C_0805/100n
324,1,4,71.35,33.35,0,0.95,0,C066,C_0805/100n
325,1,4,86.75,138,90,0.95,0,C010,C_0805/100n
