%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: M,,,,,,,,,
%nozzle 2 tip: S,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
67,2,5,116.25,105.95,90,0.8,0,R55,R_0805/10k
68,2,5,116.25,102,90,0.8,0,R56,R_0805/10k
69,2,5,287.85,154.4,90,0.8,0,R61,R_0805/10k
70,2,5,311.5,138.25,0,0.8,0,R69,R_0805/10k@0.25W
71,2,5,324.75,138.25,0,0.8,0,R72,R_0805/10k@0.25W
72,2,8,64.25,130,0,0.8,0,R108,R_0805/3k3
73,2,8,48.3375,132.25,0,0.8,0,R109,R_0805/3k3
74,2,8,64.25,134.25,0,0.8,0,R110,R_0805/3k3
75,2,8,48.3375,137.25,0,0.8,0,R111,R_0805/3k3
76,2,8,64.25,138.5,0,0.8,0,R112,R_0805/3k3
77,2,8,48.3375,142.25,0,0.8,0,R113,R_0805/3k3
78,2,8,64.25,142.75,0,0.8,0,R114,R_0805/3k3
79,2,8,48.3375,147.25,0,0.8,0,R115,R_0805/3k3
80,2,8,64.25,147,0,0.8,0,R116,R_0805/3k3
81,2,8,48.25,152.25,0,0.8,0,R117,R_0805/3k3
82,2,8,64.25,151.75,0,0.8,0,R118,R_0805/3k3
83,2,8,64.25,155,0,0.8,0,R119,R_0805/3k3
84,2,8,79.25,13.35,0,0.8,0,R157,R_0805/3k3
85,2,8,79.25,17.35,0,0.8,0,R158,R_0805/3k3
86,2,8,79.25,21.55,0,0.8,0,R159,R_0805/3k3
87,2,8,79.25,25.55,0,0.8,0,R160,R_0805/3k3
88,2,8,79.25,29.75,0,0.8,0,R161,R_0805/3k3
89,2,8,79.25,33.85,0,0.8,0,R162,R_0805/3k3
90,2,8,31.65,54.05,180,0.8,0,R163,R_0805/3k3
91,2,8,31.65,49.95,180,0.8,0,R164,R_0805/3k3
92,2,8,31.65,45.85,180,0.8,0,R165,R_0805/3k3
93,2,8,31.65,41.75,180,0.8,0,R166,R_0805/3k3
94,2,8,31.65,37.65,180,0.8,0,R167,R_0805/3k3
95,2,8,31.65,33.55,180,0.8,0,R168,R_0805/3k3
96,2,8,159.65,16.75,0,0.8,0,R202,R_0805/3k3
97,2,8,159.65,20.95,0,0.8,0,R203,R_0805/3k3
98,2,8,159.65,25.05,0,0.8,0,R204,R_0805/3k3
99,2,8,159.65,29.15,0,0.8,0,R205,R_0805/3k3
100,2,8,159.65,33.25,0,0.8,0,R206,R_0805/3k3
101,2,8,159.65,37.35,0,0.8,0,R207,R_0805/3k3
102,2,8,159.65,41.45,0,0.8,0,R208,R_0805/3k3
103,2,8,159.65,45.55,0,0.8,0,R209,R_0805/3k3
104,2,8,159.65,49.65,0,0.8,0,R210,R_0805/3k3
105,2,8,159.65,53.75,0,0.8,0,R211,R_0805/3k3
106,2,8,159.65,57.85,0,0.8,0,R212,R_0805/3k3
107,2,8,159.65,62.05,0,0.8,0,R213,R_0805/3k3
108,2,8,288.3,44.52,180,0.8,0,R250,R_0805/3k3
109,2,8,288.3,40.52,180,0.8,0,R251,R_0805/3k3
110,2,8,288.3,36.27,180,0.8,0,R252,R_0805/3k3
111,2,8,288.3,32.27,180,0.8,0,R253,R_0805/3k3
112,2,8,288.3,28.27,180,0.8,0,R254,R_0805/3k3
113,2,8,288.3,24.02,180,0.8,0,R255,R_0805/3k3
114,2,8,265.67,63.91,90,0.8,0,R256,R_0805/3k3
115,2,8,261.42,63.91,90,0.8,0,R257,R_0805/3k3
116,2,8,257.42,63.91,90,0.8,0,R258,R_0805/3k3
117,2,8,253.42,63.91,90,0.8,0,R259,R_0805/3k3
118,2,8,249.27,63.91,90,0.8,0,R260,R_0805/3k3
119,2,8,245.17,63.91,90,0.8,0,R261,R_0805/3k3
120,2,8,228.3,36.9,90,0.8,0,R291,R_0805/3k3
121,2,8,224.2,36.9,90,0.8,0,R292,R_0805/3k3
122,2,8,220.1,36.9,90,0.8,0,R293,R_0805/3k3
123,2,8,216,36.9,90,0.8,0,R294,R_0805/3k3
124,2,8,211.9,36.9,90,0.8,0,R295,R_0805/3k3
125,2,8,207.8,36.9,90,0.8,0,R296,R_0805/3k3
