%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
96,1,8,31.05,32.85,90,0.8,0,R168,R_0805/3k3
97,1,8,159.05,16.05,90,0.8,0,R202,R_0805/3k3
98,1,8,159.05,20.25,90,0.8,0,R203,R_0805/3k3
99,1,8,159.05,24.35,90,0.8,0,R204,R_0805/3k3
100,1,8,159.05,28.45,90,0.8,0,R205,R_0805/3k3
101,1,8,159.05,32.55,90,0.8,0,R206,R_0805/3k3
102,1,8,159.05,36.65,90,0.8,0,R207,R_0805/3k3
103,1,8,159.05,40.75,90,0.8,0,R208,R_0805/3k3
104,1,8,159.05,44.85,90,0.8,0,R209,R_0805/3k3
105,1,8,159.05,48.95,90,0.8,0,R210,R_0805/3k3
106,1,8,159.05,53.05,90,0.8,0,R211,R_0805/3k3
107,1,8,159.05,57.15,90,0.8,0,R212,R_0805/3k3
108,1,8,159.05,61.35,90,0.8,0,R213,R_0805/3k3
109,1,8,287.7,43.82,90,0.8,0,R250,R_0805/3k3
110,1,8,287.7,39.82,90,0.8,0,R251,R_0805/3k3
111,1,8,287.7,35.57,90,0.8,0,R252,R_0805/3k3
112,1,8,287.7,31.57,90,0.8,0,R253,R_0805/3k3
113,1,8,287.7,27.57,90,0.8,0,R254,R_0805/3k3
114,1,8,287.7,23.32,90,0.8,0,R255,R_0805/3k3
115,1,8,265.07,63.21,0,0.8,0,R256,R_0805/3k3
116,1,8,260.82,63.21,0,0.8,0,R257,R_0805/3k3
117,1,8,256.82,63.21,0,0.8,0,R258,R_0805/3k3
118,1,8,252.82,63.21,0,0.8,0,R259,R_0805/3k3
119,1,8,248.67,63.21,0,0.8,0,R260,R_0805/3k3
120,1,8,244.57,63.21,0,0.8,0,R261,R_0805/3k3
121,1,8,227.7,36.2,0,0.8,0,R291,R_0805/3k3
122,1,8,223.6,36.2,0,0.8,0,R292,R_0805/3k3
123,1,8,219.5,36.2,0,0.8,0,R293,R_0805/3k3
124,1,8,215.4,36.2,0,0.8,0,R294,R_0805/3k3
125,1,8,211.3,36.2,0,0.8,0,R295,R_0805/3k3
126,1,8,207.2,36.2,0,0.8,0,R296,R_0805/3k3
127,1,8,203.1,36.2,0,0.8,0,R297,R_0805/3k3
128,1,8,199,36.2,0,0.8,0,R298,R_0805/3k3
129,1,8,194.9,36.2,0,0.8,0,R299,R_0805/3k3
130,1,8,190.8,36.2,0,0.8,0,R300,R_0805/3k3
131,1,8,186.7,36.2,0,0.8,0,R301,R_0805/3k3
132,1,8,182.6,36.2,0,0.8,0,R302,R_0805/3k3
133,1,8,306.9,27.8,90,0.8,0,R10,R_0805/3k3
134,1,8,249.9,43.05,0,0.8,0,R11,R_0805/3k3
135,1,8,5.09,137.7,90,0.8,0,R125,R_0805/3k3
136,1,8,13.4,128.15,90,0.8,0,R128,R_0805/3k3
137,1,8,62.9,26.8,0,0.8,0,R171,R_0805/3k3
138,1,8,57.4,26.8,0,0.8,0,R174,R_0805/3k3
139,1,8,125.15,16.55,0,0.8,0,R218,R_0805/3k3
140,1,8,137.15,15.8,0,0.8,0,R221,R_0805/3k3
141,1,8,152.8,120.75,0,0.8,0,R24,R_0805/3k3
142,1,8,156.55,120.75,0,0.8,0,R25,R_0805/3k3
143,1,8,311.65,7.8,90,0.8,0,R264,R_0805/3k3
144,1,8,306.9,25.3,90,0.8,0,R267,R_0805/3k3
145,1,8,160.15,120.75,0,0.8,0,R28,R_0805/3k3
